,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
110422,PR,Sim,900.0,180.0,1.0,1.0,baixa
110423,PR,Nao,2620.0,1310.0,4.0,2.0,média
110424,PR,Sim,1588.0,794.0,4.0,2.0,média baixa
110425,PR,Nao,3076.0,1025.0,4.0,1.0,média
110426,PR,Sim,1708.0,569.0,3.0,2.0,média baixa
110427,PR,Sim,3100.0,775.0,3.0,2.0,média baixa
110428,PR,Sim,1000.0,500.0,3.0,1.0,média baixa
110429,PR,Sim,3538.0,707.0,3.0,2.0,média baixa
110430,PR,Nao,1738.0,579.0,3.0,1.0,média baixa
110431,PR,Sim,3200.0,640.0,3.0,1.0,média baixa
110432,PR,Sim,6400.0,1280.0,4.0,3.0,média
110433,PR,Sim,1200.0,600.0,3.0,1.0,média baixa
110434,PR,Nao,788.0,262.0,2.0,2.0,baixa
110435,PR,Sim,4200.0,1400.0,4.0,1.0,média
110436,PR,Sim,2000.0,666.0,3.0,2.0,média baixa
110437,PR,Sim,3576.0,1192.0,4.0,3.0,média
110438,PR,Sim,2130.0,532.0,3.0,2.0,média baixa
110439,PR,Nao,1500.0,500.0,3.0,1.0,média baixa
110440,PR,Nao,2400.0,600.0,3.0,2.0,média baixa
110441,PR,Sim,788.0,262.0,2.0,2.0,baixa
110442,PR,Nao,1588.0,794.0,4.0,1.0,média baixa
110443,PR,Sim,1576.0,1576.0,4.0,1.0,média
110444,PR,Sim,2800.0,700.0,3.0,2.0,média baixa
110445,PR,Nao,788.0,788.0,3.0,2.0,média baixa
110446,PR,Sim,12800.0,1828.0,5.0,4.0,média
110447,PR,Sim,2600.0,650.0,3.0,2.0,média baixa
110448,PR,Nao,1100.0,1100.0,4.0,1.0,média
110449,PR,Sim,2600.0,520.0,3.0,2.0,média baixa
110450,PR,Sim,2364.0,1182.0,4.0,2.0,média
110451,PR,Sim,5900.0,2950.0,6.0,1.0,alta
110452,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110453,PR,Sim,3000.0,750.0,3.0,2.0,média baixa
110454,PR,Sim,4800.0,1200.0,4.0,2.0,média
110455,PR,Nao,1200.0,600.0,3.0,2.0,média baixa
110456,PR,Nao,1500.0,300.0,2.0,1.0,baixa
110457,PR,Nao,788.0,394.0,2.0,1.0,baixa
110458,PR,Nao,2000.0,1000.0,4.0,1.0,média baixa
110459,PR,Sim,6000.0,2000.0,5.0,2.0,média
110460,PR,Sim,1500.0,1500.0,4.0,1.0,média
110461,PR,Nao,2000.0,2000.0,5.0,1.0,média
110462,PR,Nao,4300.0,1433.0,4.0,3.0,média
110463,PR,Nao,4000.0,2000.0,5.0,2.0,média
110464,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110465,PR,Sim,2000.0,1000.0,4.0,1.0,média baixa
110466,PR,Sim,7700.0,3850.0,6.0,2.0,alta
110467,PR,Sim,4085.0,680.0,3.0,4.0,média baixa
110468,PR,Sim,1628.0,814.0,4.0,3.0,média baixa
110469,PR,Sim,2600.0,866.0,4.0,1.0,média baixa
110470,PR,Nao,1800.0,600.0,3.0,2.0,média baixa
110471,PR,Nao,2870.0,1435.0,4.0,3.0,média
110472,PR,Nao,2100.0,700.0,3.0,1.0,média baixa
110473,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110474,PR,Sim,4000.0,1000.0,4.0,2.0,média baixa
110475,PR,Sim,2200.0,2200.0,5.0,1.0,média
110477,PR,Nao,1200.0,600.0,3.0,1.0,média baixa
110478,PR,Nao,2364.0,1182.0,4.0,2.0,média
110479,PR,Sim,2000.0,666.0,3.0,2.0,média baixa
110480,PR,Sim,2200.0,1100.0,4.0,1.0,média
110481,PR,Nao,2902.0,580.0,3.0,2.0,média baixa
110482,PR,Sim,6200.0,1240.0,4.0,5.0,média
110483,PR,Sim,5000.0,1666.0,5.0,4.0,média
110484,PR,Nao,2430.0,810.0,4.0,2.0,média baixa
110485,PR,Sim,2800.0,933.0,4.0,2.0,média baixa
110486,PR,Sim,3488.0,1162.0,4.0,3.0,média
110487,PR,Nao,1400.0,350.0,2.0,2.0,baixa
110488,PR,Sim,3500.0,700.0,3.0,1.0,média baixa
110489,PR,Nao,4000.0,1333.0,4.0,1.0,média
110490,PR,Sim,3764.0,1882.0,5.0,2.0,média
110491,PR,Sim,5100.0,1700.0,5.0,1.0,média
110492,PR,Sim,4400.0,1466.0,4.0,3.0,média
110493,PR,Nao,1950.0,650.0,3.0,3.0,média baixa
110494,PR,Nao,6000.0,2000.0,5.0,1.0,média
110495,PR,Nao,1500.0,1500.0,4.0,1.0,média
110496,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110497,PR,Sim,6700.0,2233.0,5.0,3.0,média
110498,PR,Nao,1600.0,1600.0,5.0,1.0,média
110499,PR,Sim,1100.0,550.0,3.0,2.0,média baixa
110500,PR,Nao,3100.0,1550.0,4.0,1.0,média
110501,PR,Nao,2538.0,507.0,3.0,2.0,média baixa
110502,PR,Nao,2288.0,1144.0,4.0,1.0,média
110503,PR,Nao,1576.0,788.0,3.0,1.0,média baixa
110504,PR,Sim,2700.0,1350.0,4.0,1.0,média
110505,PR,Sim,4638.0,927.0,4.0,4.0,média baixa
110506,PR,Nao,1576.0,1576.0,4.0,1.0,média
110507,PR,Sim,6000.0,2000.0,5.0,2.0,média
110508,PR,Sim,3700.0,1850.0,5.0,1.0,média
110509,PR,Sim,2364.0,788.0,3.0,2.0,média baixa
110511,PR,Sim,3676.0,735.0,3.0,1.0,média baixa
110513,PR,Sim,4788.0,1197.0,4.0,2.0,média
110515,PR,Sim,2100.0,420.0,3.0,3.0,baixa
110516,PR,Nao,788.0,394.0,2.0,2.0,baixa
110517,PR,Sim,12788.0,3197.0,6.0,4.0,alta
110518,PR,Sim,5800.0,2900.0,6.0,3.0,alta
110519,PR,Sim,8000.0,4000.0,7.0,2.0,alta
110520,PR,Sim,23500.0,4700.0,7.0,5.0,alta
110521,PR,Sim,4388.0,626.0,3.0,1.0,média baixa
110522,PR,Sim,1400.0,700.0,3.0,3.0,média baixa
110523,PR,Sim,3182.0,636.0,3.0,3.0,média baixa
110524,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110525,PR,Nao,2800.0,560.0,3.0,1.0,média baixa
110527,PR,Sim,3700.0,1850.0,5.0,1.0,média
110528,PR,Sim,4600.0,2300.0,5.0,3.0,média
110529,PR,Sim,1576.0,788.0,3.0,1.0,média baixa
110530,PR,Sim,4171.0,1042.0,4.0,2.0,média
110531,PR,Sim,3693.0,1231.0,4.0,2.0,média
110532,PR,Sim,4000.0,1333.0,4.0,1.0,média
110534,PR,Nao,1576.0,1576.0,4.0,1.0,média
110535,PR,Sim,2988.0,996.0,4.0,1.0,média baixa
110537,PR,Nao,2460.0,1230.0,4.0,2.0,média
110539,PR,Sim,1350.0,450.0,3.0,2.0,média baixa
110540,PR,Nao,2876.0,958.0,4.0,1.0,média baixa
110541,PR,Nao,2538.0,1269.0,4.0,3.0,média
110542,PR,Sim,3288.0,548.0,3.0,1.0,média baixa
110543,PR,Sim,8107.0,2702.0,6.0,2.0,alta
110544,PR,Nao,7100.0,3550.0,6.0,3.0,alta
110545,PR,Sim,1500.0,500.0,3.0,1.0,média baixa
110546,PR,Sim,400.0,133.0,1.0,1.0,baixa
110547,PR,Sim,12100.0,6050.0,7.0,2.0,alta
110548,PR,Sim,1500.0,500.0,3.0,1.0,média baixa
110549,PR,Nao,1638.0,1638.0,5.0,2.0,média
110550,PR,Sim,1638.0,546.0,3.0,2.0,média baixa
110551,PR,Sim,5600.0,1400.0,4.0,1.0,média
110552,PR,Sim,1255.0,313.0,2.0,2.0,baixa
110554,PR,Sim,2960.0,986.0,4.0,2.0,média baixa
110555,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110556,PR,Sim,3600.0,600.0,3.0,1.0,média baixa
110557,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110558,PR,Nao,1027.0,342.0,2.0,2.0,baixa
110559,PR,Nao,1200.0,1200.0,4.0,1.0,média
110562,PR,Sim,4200.0,840.0,4.0,1.0,média baixa
110563,PR,Sim,1375.0,1375.0,4.0,1.0,média
110564,PR,Sim,1300.0,433.0,3.0,1.0,baixa
110565,PR,Sim,3200.0,1066.0,4.0,1.0,média
110566,PR,Nao,6652.0,1663.0,5.0,2.0,média
110567,PR,Nao,1576.0,788.0,3.0,1.0,média baixa
110568,PR,Nao,1450.0,1450.0,4.0,1.0,média
110569,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110570,PR,Nao,1278.0,319.0,2.0,2.0,baixa
110571,PR,Sim,3120.0,624.0,3.0,2.0,média baixa
110572,PR,Sim,1370.0,1370.0,4.0,1.0,média
110573,PR,Sim,2650.0,662.0,3.0,1.0,média baixa
110574,PR,Nao,1000.0,1000.0,4.0,1.0,média baixa
110575,PR,Nao,1183.0,591.0,3.0,3.0,média baixa
110576,PR,Sim,3500.0,1750.0,5.0,1.0,média
110577,PR,Nao,2040.0,510.0,3.0,1.0,média baixa
110578,PR,Sim,1576.0,525.0,3.0,2.0,média baixa
110579,PR,Sim,4300.0,1075.0,4.0,1.0,média
110580,PR,Sim,9900.0,2475.0,6.0,3.0,média
110581,PR,Nao,1888.0,944.0,4.0,2.0,média baixa
110582,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110583,PR,Sim,13000.0,13000.0,7.0,1.0,alta
110584,PR,Nao,5600.0,1866.0,5.0,3.0,média
110585,PR,Sim,3000.0,1500.0,4.0,2.0,média
110586,PR,Sim,2288.0,572.0,3.0,1.0,média baixa
110587,PR,Sim,13580.0,3395.0,6.0,3.0,alta
110588,PR,Nao,15500.0,5166.0,7.0,2.0,alta
110589,PR,Sim,2000.0,1000.0,4.0,1.0,média baixa
110590,PR,Sim,4000.0,1000.0,4.0,2.0,média baixa
110591,PR,Sim,2850.0,950.0,4.0,1.0,média baixa
110592,PR,Sim,6150.0,2050.0,5.0,1.0,média
110593,PR,Nao,5978.0,2989.0,6.0,1.0,alta
110594,PR,Sim,1995.0,997.0,4.0,2.0,média baixa
110595,PR,Sim,10500.0,2625.0,6.0,5.0,alta
110596,PR,Sim,4000.0,1000.0,4.0,2.0,média baixa
110597,PR,Sim,6500.0,3250.0,6.0,2.0,alta
110598,PR,Sim,9000.0,9000.0,7.0,2.0,alta
110599,PR,Sim,6000.0,1200.0,4.0,2.0,média
110600,PR,Nao,788.0,788.0,3.0,1.0,média baixa
110604,PR,Sim,1450.0,1450.0,4.0,1.0,média
110606,PR,Nao,4244.0,1414.0,4.0,2.0,média
110607,PR,Sim,2500.0,833.0,4.0,2.0,média baixa
110610,PR,Nao,2500.0,625.0,3.0,1.0,média baixa
110611,PR,Nao,1788.0,894.0,4.0,1.0,média baixa
110612,PR,Sim,2080.0,693.0,3.0,1.0,média baixa
110613,PR,Sim,1100.0,366.0,2.0,1.0,baixa
110614,PR,Nao,2300.0,1150.0,4.0,1.0,média
110615,PR,Nao,1440.0,720.0,3.0,1.0,média baixa
110616,PR,Nao,1600.0,800.0,4.0,1.0,média baixa
110618,PR,Sim,2100.0,525.0,3.0,1.0,média baixa
110619,PR,Nao,2880.0,960.0,4.0,1.0,média baixa
110620,PR,Sim,1700.0,566.0,3.0,1.0,média baixa
110621,PR,Sim,1400.0,466.0,3.0,1.0,média baixa
