,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
113053,PR,Sim,5500.0,5500.0,7.0,2.0,alta
113055,PR,Sim,21000.0,10500.0,7.0,3.0,alta
113056,PR,Sim,6500.0,3250.0,6.0,2.0,alta
113057,PR,Sim,7800.0,2600.0,6.0,3.0,alta
113058,PR,Sim,7736.0,1547.0,5.0,5.0,média
113059,PR,Nao,874.0,291.0,2.0,1.0,baixa
113060,PR,Sim,4000.0,1000.0,4.0,3.0,média baixa
113061,PR,Sim,4178.0,2089.0,6.0,4.0,média
113062,PR,Nao,3900.0,1950.0,5.0,3.0,média
113063,PR,Sim,2480.0,620.0,3.0,6.0,média baixa
113064,PR,Sim,6200.0,1240.0,4.0,3.0,média
113065,PR,Nao,3756.0,1252.0,4.0,2.0,média
113066,PR,Sim,1200.0,1200.0,4.0,2.0,média
113067,PR,Sim,3300.0,660.0,3.0,4.0,média baixa
113068,PR,Sim,1478.0,739.0,4.0,2.0,média baixa
113069,PR,Sim,5678.0,1892.0,5.0,4.0,média
113070,PR,Sim,2228.0,318.0,2.0,3.0,baixa
113071,PR,Sim,2100.0,700.0,4.0,3.0,média baixa
113072,PR,Nao,678.0,678.0,3.0,1.0,média baixa
113074,PR,Sim,9000.0,3000.0,6.0,3.0,alta
113075,PR,Sim,9000.0,2250.0,6.0,3.0,média
113076,PR,Sim,3200.0,1600.0,5.0,4.0,média
113077,PR,Sim,4400.0,2200.0,6.0,2.0,média
113078,PR,Nao,5700.0,2850.0,6.0,2.0,alta
113079,PR,Sim,4200.0,1400.0,5.0,2.0,média
113080,PR,Nao,5000.0,2500.0,6.0,3.0,alta
113081,PR,Sim,5000.0,5000.0,7.0,1.0,alta
113082,PR,Sim,8300.0,2766.0,6.0,3.0,alta
113083,PR,Sim,3000.0,3000.0,6.0,2.0,alta
113084,PR,Sim,4300.0,1433.0,5.0,4.0,média
113085,PR,Sim,5400.0,5400.0,7.0,1.0,alta
113086,PR,Sim,11000.0,2750.0,6.0,4.0,alta
113087,PR,Sim,14500.0,7250.0,7.0,2.0,alta
113089,PR,Sim,10000.0,2500.0,6.0,2.0,alta
113090,PR,Sim,14000.0,4666.0,7.0,2.0,alta
113091,PR,Sim,7350.0,1837.0,5.0,3.0,média
113092,PR,Nao,4500.0,1500.0,5.0,2.0,média
113093,PR,Sim,3750.0,750.0,4.0,3.0,média baixa
113094,PR,Nao,3328.0,1109.0,4.0,2.0,média
113095,PR,Sim,5128.0,1025.0,4.0,4.0,média
113096,PR,Sim,2200.0,1100.0,4.0,2.0,média
113097,PR,Sim,0.0,0.0,0.0,1.0,baixa
113098,PR,Sim,3200.0,1600.0,5.0,2.0,média
113099,PR,Sim,1958.0,489.0,3.0,3.0,média baixa
113100,PR,Sim,3125.0,1041.0,4.0,2.0,média
113101,PR,Nao,3220.0,1073.0,4.0,2.0,média
113102,PR,Sim,5988.0,1497.0,5.0,3.0,média
113103,PR,Sim,5200.0,1300.0,4.0,2.0,média
113104,PR,Nao,5730.0,1432.0,5.0,3.0,média
113105,PR,Nao,3085.0,1542.0,5.0,2.0,média
113106,PR,Sim,2720.0,680.0,4.0,2.0,média baixa
113107,PR,Sim,5398.0,1349.0,4.0,3.0,média
113108,PR,Sim,6678.0,1669.0,5.0,1.0,média
113109,PR,Sim,3000.0,1000.0,4.0,2.0,média baixa
113110,PR,Sim,2478.0,495.0,3.0,1.0,média baixa
113111,PR,Sim,3578.0,1192.0,4.0,2.0,média
113112,PR,Sim,1978.0,989.0,4.0,2.0,média baixa
113113,PR,Sim,2500.0,1250.0,4.0,2.0,média
113114,PR,Sim,2684.0,894.0,4.0,2.0,média baixa
113115,PR,Sim,2300.0,766.0,4.0,1.0,média baixa
113116,PR,Nao,678.0,339.0,2.0,2.0,baixa
113117,PR,Sim,1250.0,625.0,3.0,2.0,média baixa
113118,PR,Sim,2000.0,500.0,3.0,1.0,média baixa
113119,PR,Nao,1278.0,1278.0,4.0,2.0,média
113120,PR,Sim,1800.0,600.0,3.0,2.0,média baixa
113122,PR,Sim,2600.0,650.0,3.0,2.0,média baixa
113123,PR,Sim,1970.0,656.0,3.0,2.0,média baixa
113124,PR,Nao,1850.0,616.0,3.0,1.0,média baixa
113125,PR,Sim,1700.0,425.0,3.0,3.0,baixa
113126,PR,Sim,2450.0,612.0,3.0,1.0,média baixa
113127,PR,Nao,678.0,678.0,3.0,4.0,média baixa
113128,PR,Nao,1356.0,452.0,3.0,2.0,média baixa
113129,PR,Sim,5028.0,1676.0,5.0,2.0,média
113130,PR,Nao,1000.0,1000.0,4.0,1.0,média baixa
113131,PR,Nao,2778.0,1389.0,5.0,1.0,média
113132,PR,Sim,2678.0,535.0,3.0,2.0,média baixa
113133,PR,Sim,1500.0,750.0,4.0,3.0,média baixa
113134,PR,Nao,1600.0,800.0,4.0,1.0,média baixa
113135,PR,Nao,2200.0,733.0,4.0,1.0,média baixa
113136,PR,Nao,1400.0,700.0,4.0,2.0,média baixa
113137,PR,Nao,1250.0,625.0,3.0,1.0,média baixa
113138,PR,Sim,2500.0,500.0,3.0,2.0,média baixa
113139,PR,Nao,1400.0,700.0,4.0,1.0,média baixa
113140,PR,Nao,3000.0,1500.0,5.0,2.0,média
113141,PR,Sim,12300.0,3075.0,6.0,2.0,alta
113142,PR,Sim,4774.0,1193.0,4.0,4.0,média
113143,PR,Sim,3800.0,1266.0,4.0,3.0,média
113144,PR,Sim,7903.0,1975.0,5.0,3.0,média
113145,PR,Sim,3200.0,800.0,4.0,3.0,média baixa
113146,PR,Sim,7600.0,1520.0,5.0,3.0,média
113147,PR,Sim,3900.0,1300.0,4.0,2.0,média
113148,PR,Sim,3100.0,1033.0,4.0,2.0,média
113149,PR,Sim,9400.0,4700.0,7.0,2.0,alta
113150,PR,Sim,13700.0,3425.0,7.0,3.0,alta
113151,PR,Sim,10025.0,2506.0,6.0,4.0,alta
113152,PR,Sim,3100.0,1550.0,5.0,2.0,média
113153,PR,Sim,3000.0,750.0,4.0,2.0,média baixa
113154,PR,Sim,4164.0,1388.0,5.0,3.0,média
113155,PR,Sim,2450.0,816.0,4.0,2.0,média baixa
113156,PR,Sim,4338.0,1084.0,4.0,4.0,média
113157,PR,Sim,3650.0,730.0,4.0,3.0,média baixa
113158,PR,Nao,4664.0,777.0,4.0,1.0,média baixa
113159,PR,Nao,850.0,425.0,3.0,1.0,baixa
113160,PR,Nao,500.0,250.0,2.0,1.0,baixa
113161,PR,Sim,2602.0,433.0,3.0,4.0,baixa
113162,PR,Nao,730.0,243.0,2.0,1.0,baixa
113163,PR,Nao,2717.0,905.0,4.0,5.0,média baixa
113165,PR,Nao,442.0,221.0,2.0,1.0,baixa
113166,PR,Nao,802.0,267.0,2.0,1.0,baixa
113167,PR,Nao,700.0,350.0,3.0,1.0,baixa
113169,PR,Nao,1230.0,307.0,2.0,1.0,baixa
113170,PR,Sim,862.0,215.0,2.0,1.0,baixa
113171,PR,Nao,2250.0,750.0,4.0,1.0,média baixa
113172,PR,Sim,2760.0,690.0,4.0,2.0,média baixa
113173,PR,Nao,1816.0,363.0,3.0,1.0,baixa
113174,PR,Sim,3000.0,1500.0,5.0,2.0,média
113175,PR,Nao,1000.0,1000.0,4.0,1.0,média baixa
113177,PR,Nao,914.0,914.0,4.0,1.0,média baixa
113178,PR,Sim,5200.0,2600.0,6.0,2.0,alta
113179,PR,Nao,678.0,678.0,3.0,1.0,média baixa
113180,PR,Sim,950.0,475.0,3.0,1.0,média baixa
113181,PR,Nao,5200.0,2600.0,6.0,1.0,alta
113182,PR,Sim,2700.0,900.0,4.0,2.0,média baixa
113183,PR,Nao,0.0,0.0,0.0,1.0,baixa
113184,PR,Nao,678.0,113.0,1.0,1.0,baixa
113185,PR,Sim,6500.0,2166.0,6.0,2.0,média
113186,PR,Nao,1878.0,939.0,4.0,1.0,média baixa
113187,PR,Nao,1356.0,226.0,2.0,1.0,baixa
113189,PR,Sim,3656.0,914.0,4.0,1.0,média baixa
113191,PR,Sim,12500.0,6250.0,7.0,3.0,alta
113192,PR,Sim,11500.0,2875.0,6.0,2.0,alta
113193,PR,Sim,4600.0,1533.0,5.0,3.0,média
113194,PR,Sim,10500.0,5250.0,7.0,2.0,alta
113195,PR,Nao,1356.0,678.0,3.0,1.0,média baixa
113196,PR,Nao,5300.0,5300.0,7.0,1.0,alta
113197,PR,Sim,2000.0,666.0,3.0,2.0,média baixa
113198,PR,Sim,3500.0,3500.0,7.0,2.0,alta
113199,PR,Sim,7500.0,2500.0,6.0,2.0,alta
113200,PR,Sim,1200.0,1200.0,4.0,1.0,média
113202,PR,Sim,2034.0,1017.0,4.0,2.0,média baixa
113203,PR,Sim,2500.0,2500.0,6.0,1.0,alta
113205,PR,Sim,7300.0,3650.0,7.0,2.0,alta
113222,PR,Nao,1880.0,940.0,4.0,1.0,média baixa
113223,PR,Nao,2300.0,766.0,4.0,2.0,média baixa
113224,PR,Sim,2980.0,745.0,4.0,4.0,média baixa
113225,PR,Sim,7000.0,1750.0,5.0,3.0,média
113226,PR,Nao,3300.0,825.0,4.0,1.0,média baixa
113227,PR,Nao,2200.0,733.0,4.0,2.0,média baixa
113228,PR,Sim,3680.0,920.0,4.0,3.0,média baixa
113229,PR,Sim,3400.0,850.0,4.0,4.0,média baixa
113230,PR,Sim,6238.0,1247.0,4.0,4.0,média
113231,PR,Sim,7470.0,1067.0,4.0,4.0,média
113232,PR,Sim,7300.0,1460.0,5.0,4.0,média
113233,PR,Sim,2400.0,600.0,3.0,2.0,média baixa
113234,PR,Sim,5870.0,1174.0,4.0,3.0,média
113236,PR,Sim,2700.0,1350.0,4.0,2.0,média
113237,PR,Nao,2800.0,933.0,4.0,2.0,média baixa
113238,PR,Nao,3310.0,1103.0,4.0,3.0,média
113239,PR,Sim,2700.0,675.0,3.0,2.0,média baixa
113240,PR,Sim,2380.0,595.0,3.0,3.0,média baixa
113241,PR,Sim,3065.0,1021.0,4.0,2.0,média
113242,PR,Sim,6520.0,1630.0,5.0,4.0,média
113243,PR,Sim,4100.0,1025.0,4.0,4.0,média
113244,PR,Sim,4700.0,1175.0,4.0,4.0,média
113245,PR,Sim,6700.0,1675.0,5.0,3.0,média
113246,PR,Sim,4230.0,2115.0,6.0,1.0,média
113247,PR,Sim,3678.0,919.0,4.0,2.0,média baixa
113248,PR,Sim,2128.0,709.0,4.0,1.0,média baixa
113249,PR,Sim,2500.0,1250.0,4.0,2.0,média
113250,PR,Sim,2578.0,644.0,3.0,2.0,média baixa
113251,PR,Sim,1450.0,725.0,4.0,1.0,média baixa
113252,PR,Nao,2400.0,2400.0,6.0,2.0,média
113253,PR,Sim,2578.0,859.0,4.0,2.0,média baixa
113254,PR,Sim,3300.0,1100.0,4.0,2.0,média
113255,PR,Nao,1050.0,350.0,3.0,1.0,baixa
113256,PR,Sim,3800.0,1900.0,5.0,4.0,média
113257,PR,Sim,6100.0,871.0,4.0,3.0,média baixa
113258,PR,Nao,1500.0,750.0,4.0,1.0,média baixa
113259,PR,Sim,5925.0,1975.0,5.0,1.0,média
113260,PR,Nao,3100.0,1033.0,4.0,1.0,média
113261,PR,Sim,1639.0,409.0,3.0,3.0,baixa
113262,PR,Sim,3500.0,1166.0,4.0,3.0,média
113263,PR,Nao,800.0,800.0,4.0,2.0,média baixa
113264,PR,Sim,5000.0,1250.0,4.0,4.0,média
113265,PR,Sim,2800.0,466.0,3.0,2.0,média baixa
113266,PR,Sim,1678.0,839.0,4.0,4.0,média baixa
113267,PR,Sim,7000.0,3500.0,7.0,2.0,alta
113268,PR,Sim,2660.0,665.0,3.0,3.0,média baixa
113270,PR,Sim,2400.0,1200.0,4.0,2.0,média
113271,PR,Sim,1579.0,526.0,3.0,2.0,média baixa
113272,PR,Sim,6300.0,1260.0,4.0,1.0,média
113273,PR,Nao,3800.0,1266.0,4.0,2.0,média
113274,PR,Sim,13700.0,3425.0,7.0,2.0,alta
113275,PR,Nao,1000.0,333.0,2.0,2.0,baixa
113276,PR,Nao,5000.0,5000.0,7.0,1.0,alta
113278,PR,Nao,4000.0,2000.0,5.0,1.0,média
113279,PR,Sim,22000.0,11000.0,7.0,2.0,alta
113280,PR,Sim,4000.0,2000.0,5.0,1.0,média
113281,PR,Sim,1500.0,1500.0,5.0,1.0,média
113282,PR,Sim,6900.0,2300.0,6.0,3.0,média
113283,PR,Nao,680.0,680.0,4.0,1.0,média baixa
113284,PR,Sim,8000.0,2666.0,6.0,2.0,alta
113285,PR,Sim,2900.0,1450.0,5.0,1.0,média
