,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores
115284,41,Nao,0.0,0.0,0.0,1.0
115285,41,Nao,112.0,37.0,1.0,2.0
115286,41,,,,,
115287,41,Nao,177.0,177.0,1.0,1.0
115288,41,Nao,100.0,50.0,1.0,1.0
115289,41,Nao,1576.0,394.0,2.0,1.0
115290,41,,,,,
115292,41,Nao,1000.0,500.0,3.0,1.0
115293,41,,,,,
115294,41,Nao,1600.0,400.0,3.0,1.0
115295,41,,,,,
115297,41,,,,,
115298,41,,,,,
115299,41,,,,,
115300,41,,,,,
115301,41,Nao,1576.0,788.0,3.0,2.0
115302,41,Nao,2495.0,623.0,3.0,1.0
115303,41,Nao,788.0,394.0,2.0,1.0
115304,41,Nao,1612.0,537.0,3.0,1.0
115305,41,Nao,2700.0,675.0,3.0,2.0
115306,41,Nao,1600.0,800.0,4.0,2.0
115307,41,Nao,1200.0,300.0,2.0,1.0
115308,41,,,,,
115309,41,,,,,
115310,41,Nao,3788.0,1262.0,4.0,2.0
115311,41,Nao,3100.0,620.0,3.0,2.0
115312,41,Sim,2100.0,2100.0,5.0,3.0
115313,41,Nao,2000.0,666.0,3.0,1.0
115314,41,Nao,3076.0,1538.0,4.0,2.0
115315,41,Nao,788.0,788.0,3.0,3.0
115316,41,Nao,1576.0,788.0,3.0,1.0
115317,41,Nao,1188.0,594.0,3.0,1.0
115318,41,Nao,800.0,400.0,3.0,1.0
115319,41,Sim,4000.0,800.0,4.0,1.0
115320,41,Sim,3488.0,872.0,4.0,2.0
115321,41,Sim,5500.0,1833.0,5.0,2.0
115322,41,Nao,1350.0,450.0,3.0,1.0
115323,41,Sim,2000.0,500.0,3.0,1.0
115324,41,Sim,788.0,262.0,2.0,1.0
115325,41,Sim,3076.0,1538.0,4.0,2.0
115326,41,Sim,1500.0,750.0,3.0,1.0
115327,41,Sim,2800.0,1400.0,4.0,2.0
115328,41,Sim,2530.0,632.0,3.0,1.0
115329,41,Nao,1800.0,900.0,4.0,1.0
115330,41,,,,,
115331,41,Sim,2288.0,1144.0,4.0,1.0
115332,41,Nao,1975.0,493.0,3.0,1.0
115333,41,Sim,8788.0,2197.0,5.0,3.0
115334,41,,,,,
115335,41,Sim,8788.0,4394.0,7.0,3.0
115336,41,Sim,1000.0,333.0,2.0,1.0
115337,41,Nao,1000.0,1000.0,4.0,1.0
115338,41,Sim,3050.0,1016.0,4.0,1.0
115339,41,Sim,5495.0,1373.0,4.0,1.0
115340,41,Sim,1400.0,1400.0,4.0,
115341,41,Sim,1700.0,1700.0,5.0,2.0
115342,41,,,,,
115343,41,Nao,1576.0,1576.0,4.0,1.0
115344,41,Nao,4288.0,1429.0,4.0,2.0
115345,41,,,,,
115346,41,Sim,1400.0,350.0,2.0,1.0
115347,41,Sim,12000.0,12000.0,7.0,1.0
115348,41,Sim,3350.0,1675.0,5.0,1.0
115349,41,Sim,1982.0,991.0,4.0,1.0
115350,41,,,,,
115351,41,Sim,5300.0,1325.0,4.0,3.0
115352,41,Nao,2800.0,933.0,4.0,1.0
115353,41,Sim,4200.0,1050.0,4.0,3.0
115354,41,Sim,2900.0,580.0,3.0,2.0
115355,41,Nao,788.0,788.0,3.0,1.0
115356,41,Nao,1576.0,788.0,3.0,2.0
115357,41,Sim,8400.0,2800.0,6.0,3.0
115358,41,Sim,5200.0,2600.0,6.0,2.0
115359,41,Sim,10000.0,3333.0,6.0,2.0
115360,41,Nao,4488.0,2244.0,5.0,2.0
115361,41,Sim,2596.0,649.0,3.0,2.0
115362,41,Nao,4800.0,2400.0,6.0,1.0
115363,41,,,,,
115364,41,Sim,2000.0,400.0,3.0,3.0
115365,41,Sim,3307.0,1102.0,4.0,3.0
115366,41,Sim,7700.0,2566.0,6.0,3.0
115367,41,,,,,
115368,41,Sim,5000.0,1666.0,5.0,2.0
115369,41,Nao,3964.0,1982.0,5.0,2.0
115370,41,Nao,2376.0,1188.0,4.0,2.0
115371,41,Sim,3890.0,1296.0,4.0,2.0
115372,41,Nao,1576.0,1576.0,4.0,1.0
115373,41,,,,,
115374,41,Sim,3788.0,1262.0,4.0,1.0
115375,41,Nao,6200.0,2066.0,5.0,1.0
115376,41,Sim,2700.0,1350.0,4.0,1.0
115377,41,Sim,1400.0,700.0,3.0,2.0
115378,41,Sim,2600.0,866.0,4.0,1.0
115379,41,Sim,1188.0,1188.0,4.0,1.0
115380,41,Sim,2500.0,833.0,4.0,1.0
115381,41,Sim,2288.0,762.0,3.0,1.0
115382,41,Sim,5100.0,1700.0,5.0,2.0
115383,41,Sim,2780.0,926.0,4.0,1.0
115384,41,Nao,788.0,788.0,3.0,1.0
115385,41,Sim,3000.0,600.0,3.0,1.0
115386,41,Nao,2312.0,578.0,3.0,1.0
115387,41,,,,,
115388,41,Sim,4538.0,1512.0,4.0,2.0
115389,41,Sim,3152.0,788.0,3.0,1.0
115390,41,Nao,3988.0,1994.0,5.0,1.0
115391,41,Sim,788.0,197.0,1.0,2.0
115392,41,,,,,
115393,41,Nao,1770.0,442.0,3.0,1.0
115394,41,Sim,2600.0,1300.0,4.0,3.0
115395,41,Sim,1200.0,300.0,2.0,1.0
115396,41,Sim,2938.0,979.0,4.0,2.0
115397,41,Sim,6200.0,1550.0,4.0,2.0
115398,41,Nao,1200.0,600.0,3.0,2.0
115399,41,Sim,4300.0,1433.0,4.0,1.0
115400,41,Nao,788.0,394.0,2.0,2.0
115401,41,Nao,1576.0,788.0,3.0,1.0
115402,41,Sim,3110.0,1036.0,4.0,2.0
115403,41,Sim,1400.0,700.0,3.0,1.0
115404,41,,,,,
115405,41,Nao,1700.0,566.0,3.0,1.0
115406,41,Sim,1600.0,800.0,4.0,1.0
115407,41,Nao,1200.0,200.0,2.0,2.0
115408,41,Nao,1576.0,1576.0,4.0,1.0
115409,41,Nao,3694.0,1847.0,5.0,3.0
115410,41,Nao,2220.0,1110.0,4.0,2.0
115411,41,Nao,1576.0,1576.0,4.0,1.0
115412,41,Nao,827.0,275.0,2.0,1.0
115413,41,Sim,4810.0,1202.0,4.0,4.0
115414,41,Nao,1656.0,828.0,4.0,1.0
115415,41,Nao,816.0,816.0,4.0,1.0
115416,41,Nao,1250.0,625.0,3.0,1.0
115417,41,Sim,2400.0,1200.0,4.0,1.0
115418,41,Nao,788.0,788.0,3.0,1.0
115419,41,Sim,1576.0,525.0,3.0,1.0
115420,41,Nao,264.0,132.0,1.0,1.0
115421,41,Nao,2200.0,733.0,3.0,1.0
115422,41,Sim,4250.0,1062.0,4.0,2.0
115423,41,Sim,3540.0,1180.0,4.0,1.0
115424,41,Sim,1750.0,875.0,4.0,1.0
115425,41,Sim,2600.0,650.0,3.0,1.0
115426,41,Sim,2188.0,1094.0,4.0,1.0
115427,41,Nao,3000.0,1500.0,4.0,1.0
115428,41,Sim,2800.0,933.0,4.0,3.0
115429,41,Sim,1600.0,800.0,4.0,2.0
115430,41,Sim,6388.0,1277.0,4.0,2.0
115431,41,Nao,5000.0,2500.0,6.0,1.0
115432,41,Sim,2788.0,697.0,3.0,2.0
115433,41,Nao,4300.0,860.0,4.0,2.0
115434,41,Sim,4200.0,1400.0,4.0,2.0
115435,41,Nao,182.0,36.0,1.0,1.0
115436,41,,,,,
115437,41,Sim,11000.0,5500.0,7.0,
115438,41,Sim,2990.0,2990.0,6.0,2.0
115439,41,Nao,600.0,200.0,2.0,1.0
115440,41,Sim,21500.0,4300.0,7.0,2.0
115441,41,Sim,16000.0,8000.0,7.0,5.0
115442,41,Sim,14010.0,2802.0,6.0,2.0
115443,41,Sim,22500.0,11250.0,7.0,1.0
115444,41,Sim,9550.0,3183.0,6.0,2.0
115445,41,,,,,
115446,41,Sim,4500.0,2250.0,5.0,2.0
115447,41,Sim,13200.0,3300.0,6.0,3.0
115448,41,Sim,13500.0,13500.0,7.0,2.0
115449,41,Sim,4000.0,1333.0,4.0,1.0
115450,41,Sim,9000.0,4500.0,7.0,1.0
115451,41,,,,,
115452,41,Sim,11700.0,2925.0,6.0,3.0
115453,41,Sim,19130.0,9565.0,7.0,3.0
115454,41,Sim,11000.0,3666.0,6.0,2.0
115455,41,,,,,
115456,41,,,,,
115457,41,Sim,4700.0,1566.0,4.0,2.0
115458,41,Sim,12700.0,3175.0,6.0,4.0
115459,41,,,,,
115460,41,Sim,1950.0,487.0,3.0,1.0
115461,41,,,,,
115462,41,,,,,
115463,41,Sim,1350.0,675.0,3.0,1.0
115464,41,Nao,1000.0,1000.0,4.0,
115465,41,Sim,6288.0,1048.0,4.0,3.0
115466,41,,,,,
115467,41,Sim,9022.0,3007.0,6.0,3.0
115468,41,,,,,
115469,41,Sim,2500.0,1250.0,4.0,2.0
115470,41,Sim,3200.0,3200.0,6.0,1.0
115471,41,,,,,
115472,41,Sim,1500.0,1500.0,4.0,1.0
115473,41,,,,,
115474,41,Sim,1020.0,340.0,2.0,1.0
115475,41,Sim,8000.0,4000.0,7.0,2.0
115476,41,Sim,4100.0,2050.0,5.0,4.0
115477,41,Sim,27476.0,6869.0,7.0,2.0
115478,41,Sim,6200.0,2066.0,5.0,3.0
115479,41,Nao,800.0,800.0,4.0,1.0
115480,41,Sim,38500.0,12833.0,7.0,4.0
115481,41,Sim,9000.0,2250.0,5.0,5.0
115483,41,Sim,12700.0,3175.0,6.0,3.0
115485,41,Sim,3500.0,1166.0,4.0,2.0
115486,41,,,,,
115487,41,Sim,7500.0,7500.0,7.0,2.0
115488,41,Sim,42000.0,8400.0,7.0,7.0
115489,41,Nao,2000.0,1000.0,4.0,1.0
115490,41,Sim,4176.0,2088.0,5.0,1.0
115492,41,Sim,9500.0,2375.0,6.0,1.0
115493,41,Sim,4900.0,1633.0,5.0,1.0
115494,41,Sim,5500.0,1833.0,5.0,1.0
115495,41,Sim,5000.0,2500.0,6.0,2.0
115496,41,,,,,
115497,41,Sim,5300.0,1325.0,4.0,3.0
115498,41,Nao,1576.0,788.0,3.0,1.0
115500,41,Sim,5988.0,1497.0,4.0,2.0
115501,41,Nao,1576.0,788.0,3.0,4.0
115502,41,Nao,2334.0,778.0,3.0,2.0
115503,41,,1500.0,250.0,2.0,
115504,41,Sim,3453.0,863.0,4.0,1.0
115506,41,,,,,
115507,41,,,,,
115508,41,Nao,1576.0,788.0,3.0,1.0
115509,41,Sim,5500.0,1833.0,5.0,2.0
115510,41,Sim,3600.0,1200.0,4.0,1.0
115511,41,Sim,1300.0,650.0,3.0,3.0
115512,41,,,,,
115513,41,Nao,1960.0,980.0,4.0,2.0
115514,41,Sim,5800.0,1933.0,5.0,1.0
115515,41,Sim,4350.0,1450.0,4.0,1.0
115516,41,Nao,1674.0,1674.0,5.0,1.0
115517,41,Sim,6500.0,1625.0,5.0,5.0
115518,41,,,,,
115519,41,,,,,
115520,41,,,,,
115521,41,,,,,
115522,41,,,,,
115523,41,,,,,
115524,41,,,,,
115525,41,Sim,1300.0,650.0,3.0,1.0
115526,41,,,,,
115527,41,Nao,2100.0,2100.0,5.0,1.0
115529,41,Sim,1000.0,1000.0,4.0,1.0
115530,41,,,,,
115531,41,Sim,2100.0,1050.0,4.0,1.0
115532,41,,,,,
115533,41,,,,,
115534,41,Sim,7000.0,1750.0,5.0,2.0
115535,41,,,,,
115536,41,Sim,10088.0,10088.0,7.0,2.0
115537,41,Sim,9000.0,4500.0,7.0,2.0
115538,41,,,,,
115539,41,Sim,28000.0,14000.0,7.0,2.0
115540,41,Sim,7000.0,1750.0,5.0,1.0
115541,41,Sim,5200.0,1300.0,4.0,1.0
115542,41,Nao,850.0,850.0,4.0,1.0
115543,41,Nao,3300.0,1650.0,5.0,1.0
115544,41,Nao,1300.0,433.0,3.0,1.0
115545,41,Sim,2000.0,666.0,3.0,1.0
115546,41,Nao,2138.0,712.0,3.0,1.0
115547,41,Sim,9400.0,1880.0,5.0,4.0
115548,41,,,,,
115549,41,Sim,3600.0,1200.0,4.0,1.0
115550,41,Sim,7930.0,2643.0,6.0,1.0
115551,41,Sim,1500.0,1500.0,4.0,2.0
115552,41,Nao,1800.0,1800.0,5.0,1.0
115553,41,Sim,2600.0,520.0,3.0,1.0
115554,41,Sim,5000.0,1250.0,4.0,2.0
115555,41,Nao,788.0,394.0,2.0,2.0
115556,41,Sim,2100.0,525.0,3.0,1.0
115557,41,,5100.0,1700.0,5.0,
115558,41,Sim,1800.0,600.0,3.0,1.0
115559,41,Sim,1580.0,526.0,3.0,1.0
115560,41,Sim,9580.0,2395.0,6.0,2.0
115561,41,Sim,3305.0,1101.0,4.0,2.0
115562,41,Sim,7600.0,2533.0,6.0,1.0
115563,41,Sim,3400.0,1700.0,5.0,1.0
115564,41,Sim,3000.0,3000.0,6.0,2.0
115565,41,Sim,2300.0,766.0,3.0,1.0
115566,41,Sim,1000.0,333.0,2.0,1.0
115567,41,Sim,2350.0,1175.0,4.0,1.0
115568,41,Sim,2600.0,1300.0,4.0,2.0
115569,41,Sim,3200.0,1600.0,5.0,1.0
115570,41,,,,,
115571,41,Sim,2388.0,1194.0,4.0,1.0
115572,41,Sim,2400.0,1200.0,4.0,1.0
115573,41,Nao,788.0,394.0,2.0,2.0
115574,41,Sim,2500.0,833.0,4.0,2.0
115575,41,Sim,2700.0,1350.0,4.0,1.0
115576,41,Nao,1988.0,994.0,4.0,1.0
115577,41,Sim,3020.0,1006.0,4.0,2.0
115578,41,Nao,2000.0,1000.0,4.0,2.0
115579,41,Sim,4500.0,1125.0,4.0,2.0
115580,41,Nao,888.0,888.0,4.0,1.0
115581,41,Sim,786.0,157.0,1.0,2.0
115582,41,Nao,1500.0,1500.0,4.0,1.0
