,UF,Internet,Rend.mens.Domiciliar,Ren.mens.percapta,Faixa.Rend.mens.percapta,Num.Televisores,Classe
110540,PR,Nao,1300.0,650.0,3.0,1.0,média baixa
110541,PR,Sim,1300.0,433.0,3.0,2.0,baixa
110542,PR,Sim,2224.0,370.0,3.0,3.0,baixa
110543,PR,Nao,3000.0,3000.0,6.0,1.0,alta
110544,PR,Nao,1626.0,406.0,3.0,1.0,baixa
110545,PR,Nao,1450.0,725.0,4.0,1.0,média baixa
110546,PR,Nao,3400.0,1133.0,4.0,1.0,média
110547,PR,Nao,2500.0,1250.0,4.0,1.0,média
110548,PR,Nao,1000.0,333.0,2.0,1.0,baixa
110549,PR,Nao,1300.0,1300.0,4.0,1.0,média
110550,PR,Sim,1550.0,516.0,3.0,1.0,média baixa
110551,PR,Nao,1448.0,724.0,3.0,1.0,média baixa
110552,PR,Sim,2200.0,1100.0,4.0,2.0,média
110553,PR,Nao,1800.0,1800.0,5.0,1.0,média
110554,PR,Nao,1200.0,1200.0,4.0,1.0,média
110555,PR,Nao,2110.0,527.0,3.0,1.0,média baixa
110556,PR,Nao,5000.0,5000.0,7.0,1.0,alta
110557,PR,Sim,3500.0,875.0,4.0,2.0,média baixa
110558,PR,Sim,9500.0,1900.0,5.0,3.0,média
110560,PR,Nao,1500.0,1500.0,5.0,1.0,média
110561,PR,Nao,2900.0,1450.0,5.0,2.0,média
110562,PR,Sim,3850.0,1925.0,5.0,2.0,média
110563,PR,Sim,9500.0,4750.0,7.0,1.0,alta
110564,PR,Sim,2714.0,904.0,4.0,2.0,média baixa
110565,PR,Sim,2000.0,500.0,3.0,2.0,média baixa
110566,PR,Sim,2320.0,1160.0,4.0,2.0,média
110568,PR,Sim,4500.0,1500.0,5.0,2.0,média
110569,PR,Sim,2900.0,966.0,4.0,2.0,média baixa
110571,PR,Nao,2124.0,708.0,3.0,2.0,média baixa
110574,PR,Nao,3500.0,875.0,4.0,2.0,média baixa
110575,PR,Nao,724.0,724.0,3.0,1.0,média baixa
110576,PR,Nao,724.0,724.0,3.0,1.0,média baixa
110577,PR,Nao,2200.0,733.0,4.0,1.0,média baixa
110578,PR,Nao,900.0,450.0,3.0,1.0,média baixa
110579,PR,Sim,2300.0,1150.0,4.0,2.0,média
110580,PR,Sim,2224.0,741.0,4.0,2.0,média baixa
110581,PR,Nao,1448.0,724.0,3.0,1.0,média baixa
110582,PR,Nao,1800.0,1800.0,5.0,1.0,média
110583,PR,Nao,2224.0,1112.0,4.0,2.0,média
110584,PR,Nao,4800.0,1200.0,4.0,1.0,média
110585,PR,Nao,3250.0,1083.0,4.0,1.0,média
110586,PR,Nao,1574.0,393.0,3.0,1.0,baixa
110587,PR,Nao,5200.0,650.0,3.0,1.0,média baixa
110588,PR,Nao,1448.0,724.0,3.0,1.0,média baixa
110589,PR,Sim,3900.0,1950.0,5.0,2.0,média
110590,PR,Sim,1200.0,600.0,3.0,1.0,média baixa
110591,PR,Nao,2300.0,2300.0,6.0,1.0,média
110592,PR,Sim,4000.0,1333.0,4.0,2.0,média
110593,PR,Nao,2800.0,2800.0,6.0,1.0,alta
110594,PR,Sim,2000.0,1000.0,4.0,2.0,média baixa
110595,PR,Sim,2800.0,1400.0,4.0,2.0,média
110596,PR,Sim,2896.0,1448.0,4.0,3.0,média
110597,PR,Sim,3074.0,768.0,4.0,2.0,média baixa
